Set,CR Rank,MC rank,T. et al. rank,N & N rank,Question,CORRECT ANSWER,Correct,MC  (response times) – Errors,MC  (response times) – Correct,MC FOILS  (% of times selected as response) – Foil 1,MC FOILS  (% of times selected as response) – Foil 2,MC FOILS  (% of times selected as response) – Foil 3,MC FOILS  (% of times selected as response) – Difference (MC-CR)
C,161,93,NA,NA,Who was the person who visited the Lilliputians?,Gulliver,.88,8660,5881,Bongo (0.0%),Gargantua (4.1%),Goliath (8.2%),.50
C,161,114,NA,NA,Who was Robin Hood's greatest enemy?,Sheriff of Nottingham,.82,11071,7572,King Arthur (6.1%),Little John (8.2%),Prince Valiant (4.1%),.44
B,166,123,NA,NA,What is the navigation instrument used at sea to plot positioning by the stars?,Sextant,.82,14285,7233,Altimeter (2.0%),Barometer (4.1%),Compass (12.2%),.45
B,166,193,NA,NA,"What do you call a word or sentence that reads the same backward or forward, such as ""Madam, I'm Adam""?",Palindrome,.65,11045,10294,Anagram (24.5%),Pangram (8.2%),Tautonym (2.0%),.28
B,166,193,NA,NA,Which body of water separates Central and South America?,Panama Canal,.65,14753,12244,Atlantic Ocean (4.1%),Caribbean Sea (10.2%),Gulf Of Mexico (20.4%),.28
B,166,202,NA,NA,What word means to cut or chop (food) into very small pieces?,Mince,.63,9070,8980,Cube (0.0%),Dice (36.7%),Julienne (0.0%),.26
B,166,212,NA,NA,What was the capital of Czechoslovakia?,Prague,.61,8946,7457,Budapest (26.5%),Czechia (12.2%),Ostrava (0.0%),.24
B,166,235,NA,NA,What is the mixture of two or more metallic elements?,Alloy,.55,7149,8949,Alchemy (4.1%),Amalgam (10.2%),Compound (30.6%),.18
B,166,245,NA,NA,What do you call the leather band formerly used for sharpening an old-fashioned razor?,Strop,.53,8352,6829,Coticule (0.0%),Strap (44.9%),Switch (2.0%),.16
B,166,245,NA,NA,What is the colloquial term for patella?,Kneecap,.53,10823,6943,Elbow (10.2%),Funny Bone (24.5%),Shin (12.2%),.16
B,166,274,NA,NA,What is the name of the hardwood of an (Asian) Indian timber tree often used for furniture?,Teak,.45,12781,12452,Bamboo (20.4%),Cypress (2.0%),Mahogany (32.7%),.08
A,172,181,NA,NA,Who was Elton John's chief lyricist?,Bernie Taupin,.69,14492,5748,Alan Gordon (14.3%),Jimmy Webb (10.2%),Robert Hunter (6.1%),.33
A,172,202,NA,NA,"Which serial killer called himself ""Son of Sam""?",David Berkowitz,.63,11329,5633,John Wayne Gacy (22.4%),Samuel Jeffries (6.1%),Ted Bundy (8.2%),.26
D,174,343,182,191,"Who is known as ""The Father of Geometry""?",Euclid,.29,6793,14402,Archimedes (18.4%),Ptolemy (8.2%),Pythagoras (44.9%),-.08
D,174,225,260,186,What was the name of the Union ironclad ship that fought the Confederate ironclad Merrimack?,Monitor,.57,9054,8582,Cumberland (24.5%),Manassas (14.3%),Virginia (4.1%),.21
C,175,140,NA,NA,In 'Romeo and Juliet' who were the Montagues feuding with?,Capulets,.78,11661,6451,Goodfellows (10.2%),Minarets (10.2%),Rolettes (2.0%),.42
B,178,103,NA,NA,"What is the last name of the actor who starred in ""Hart to Hart"" and ""Switch"" on TV and also in many movies?",Wagner,.86,11330,8224,Conrad (2.0%),Garner (8.2%),Reynolds (4.1%),.51
B,178,175,NA,NA,What do you call a person who collects and studies stamps?,Philatelist,.71,10802,8177,Falerist (0.0%),Numismatist (8.2%),Phillumenist (20.4%),.36
B,178,245,NA,NA,What is the name of the river that runs through Rome?,Tiber,.53,9012,7677,Arno (22.4%),Elbe (20.4%),Rubicon (4.1%),.18
D,178,334,265,222,What is the name of the mountain range that separates Asia from Europe?,Ural,.31,9802,10309,Alps (32.7%),Dolomites (4.1%),Pyrenees (32.7%),-.05
A,183,103,NA,NA,What was the 2001 event that led to the bankruptcy of a U.S. energy company and resulted in the dissolution of Arthur Anderson?,The Enron Scandal,.86,11380,12844,The Dot-Com Scandal (0.0%),The Madoff Scandal (8.2%),The Watergate Scandal (6.1%),.51
A,183,110,NA,NA,"Whose autobiography is titled ""Lady Sings the Blues""?",Billie Holiday,.84,5635,6322,Nina Simone (6.1%),Peggy Lee (2.0%),Rosemary Clooney (8.2%),.49
A,183,151,NA,NA,What is the name of the Viking who discovered Greenland?,Erik the Red,.76,11524,8837,Eric Bloodaxe (6.1%),Freydis Eriksdottir (12.2%),Ragnar Lodbrok (6.1%),.40
A,183,212,NA,NA,What was Bob Dylan's birth name?,Robert Zimmerman,.61,11629,9158,Dylan Roberts (12.2%),Robert Dillon (16.3%),Robert Zimman (10.2%),.26
A,183,245,NA,NA,Where was the 1939 World's Fair held?,New York City,.53,7720,9374,Berlin (8.2%),London (20.4%),Paris (18.4%),.18
A,183,293,NA,NA,What did the irascible Ted Williams do in the final at bat of his 19-year major-league career?,Hit a home run,.41,13651,12513,Get hit by a pitch (6.1%),Punch the umpire (22.4%),Strike out (30.6%),.06
C,186,165,NA,NA,On top of which mountain was Moses given the Ten Commandments?,Sinai,.73,8233,7900,Calgary (8.2%),Mount of Olives (14.3%),Mt. Vesuvius (4.1%),.39
B,189,74,NA,NA,What is the last name of the Cuban leader that Castro overthrew?,Batista,.90,11401,7069,Alfonso (4.1%),Palma (4.1%),Torrado (2.0%),.56
B,189,225,NA,NA,What is the name of the fountain in Rome into which coins are thrown for good luck?,Trevi,.57,9126,6439,Bellagio (32.7%),Latona (10.2%),Turtle (0.0%),.24
B,189,282,NA,NA,What was the English settlement that vanished in the late 1580s?,Roanoke,.43,10104,7615,Jamestown (32.7%),Plymouth (12.2%),Yorktown (12.2%),.10
B,189,334,NA,NA,What do you call a moderately fast gait of a horse in which the legs move in diagonal pairs?,Trot,.31,11887,15862,Canter (42.9%),Gallop (24.5%),Running walk (2.0%),-.03
C,192,6.5,NA,NA,What is the term given to pure spiritual love which is devoid of carnal desires between members of opposite sexes?,Platonic,.98,17290,11672,Idealistic (0.0%),Incorporeal (2.0%),Rational (0.0%),.65
C,192,74,NA,NA,What was the disease known as the 'Black Plague'?,Bubonic,.90,7701,5956,Cholera (6.1%),Leprosy (0.0%),Smallpox (4.1%),.57
C,192,202,NA,NA,What was the last name of the person known as the 'desert fox',Rommel,.63,11143,11117,Alexander (2.0%),Eisenhower (22.4%),Montgomery (12.2%),.30
D,196,172,199,209,What is the last name of the first person to climb Mount Everest?,Hillary,.71,5691,6367,Brown (12.2%),Desio (6.1%),Wickersham (10.2%),.40
D,196,225,223,237,What is the last name of the British admiral who won the Battle of Trafalgar?,Nelson,.57,8797,7477,Abbott (2.0%),Drake (28.6%),Wellesley (12.2%),.25
D,196,347,235,210,What is the last name of the French author who wrote “The Stranger”?,Camus,.29,7484,6542,Proust (26.5%),Sartre (34.7%),Simenon (10.2%),-.03
D,196,123,267,229,"What is the last name of the man who created the comic strip ""Li'l Abner""?",Capp,.82,8140,6142,Adams (10.2%),Caniff (6.1%),Frank (2.0%),.50
A,198,304,NA,NA,To which continent is the yam native?,Africa,.39,8587,7510,Australia (10.2%),Europe (10.2%),South America (40.8%),.07
B,200,50,NA,NA,What word means to raise into position by means of a pulley?,Hoist,.92,6858,7093,Erect (2.0%),Lift (4.1%),Upheave (2.0%),.60
B,200,293,NA,NA,What is the old name of Taiwan?,Formosa,.41,7833,7540,Burma (20.4%),Kampuchea (2.0%),Siam (36.7%),.09
C,201,235,NA,NA,What was the creature killed by Theseus which had the body of a man and the head of a bull?,Minotaur,.55,13245,12854,Centaur (38.8%),Griffon (2.0%),Hobgoblin (4.1%),.24
D,203,293,153,203,In which city is Michelangelo's statue of David located?,Florence,.41,7835,7360,Milan (8.2%),Rome (34.7%),Venice (16.3%),.11
D,203,274,169,189,What is the last name of the man who invented dynamite?,Nobel,.45,11640,6345,Oppenheimer (22.4%),Penniman (14.3%),Wilbrand (18.4%),.15
D,203,262,259,180,What is John Kenneth Galbraith's profession?,Economist,.49,9524,9976,Doctor (6.1%),Historian (28.6%),Musician (16.3%),.19
C,205,193,NA,NA,Who was the bouncy and egotistical friend of Christopher Robin?,Tigger,.65,12109,9606,Piglet (12.2%),Rabbit (4.1%),Roo (18.4%),.35
A,207,123,NA,NA,What is a network designed to allow communication within an organization?,An intranet,.82,11493,10020,Portal (10.2%),The internet (4.1%),Yahoo (4.1%),.52
A,207,165,NA,NA,What was invented by Wilhelm Rontgen in 1895?,X-ray machine,.73,11881,8666,Diesel engine (16.3%),Jukebox (4.1%),Radio (6.1%),.44
A,207,245,NA,NA,Who is the national poet of Scotland?,Robert Burns,.53,8544,6203,Robert Louis Stevenson (26.5%),Walter Scott (8.2%),William Dunbar (12.2%),.23
B,210,217,NA,NA,What do you call a sharp and sudden pain in the side?,Stitch,.59,8111,5999,Cramp (32.7%),Hitch (2.0%),Pull (6.1%),.30
B,210,293,NA,NA,What is the metric for gemstone quality?,Carat,.41,9876,11646,Clarity (53.1%),Cut (6.1%),Ounces (0.0%),.11
D,211,235,196,176,"What was the last name of the composer of the ""Maple Leaf Rag""?",Joplin,.55,7207,7063,Ellington (16.3%),Gershwin (22.4%),Parker (6.1%),.26
C,212,123,NA,NA,What is the long process by which a dead organism turns to stone?,Petrification,.82,10970,9337,Decomposition (2.0%),Ossification (12.2%),Rigor Mortis (4.1%),.53
A,214,235,NA,NA,What was the first feature-length motion picture with sound?,The Jazz Singer,.55,10543,8754,42nd Street (12.2%),Gone With the Wind (22.4%),Wings (10.2%),.27
A,214,235,NA,NA,Which sport has the highest amount of doping?,Cycling,.55,8676,16835,Baseball (16.3%),Football (12.2%),Wrestling (16.3%),.27
A,214,316,NA,NA,What is the only nut tree native to North America?,Pecan,.35,9103,10374,Almond (4.1%),Pistachio (2.0%),Walnut (59.2%),.07
B,218,151,NA,NA,What do you call the purification or purgation of the emotions that is supposed to happen through art?,Catharsis,.76,17225,9562,Ablution (14.3%),Pathos (8.2%),Repression (2.0%),.48
B,218,212,NA,NA,What is the name of the island on which Napoleon was born?,Corsica,.61,7945,7484,Cyprus (14.3%),Malta (18.4%),Palma (6.1%),.33
B,218,225,NA,NA,"What is the last name of the man who said, ""I only regret that I have but one life to lose for my country""?",Hale,.57,10305,10313,Arnold (34.7%),Greene (4.1%),Howe (4.1%),.29
B,218,308,NA,NA,What is Jane Goodall famous for studying?,Chimpanzees,.37,6851,5042,Bears (0.0%),Gorillas (61.2%),Turtles (2.0%),.09
D,221,202,161,231,What is the city in which the baseball hall of fame is located?,Cooperstown,.63,6401,6576,Canton (18.4%),Newport (2.0%),Springfield (16.3%),.36
D,221,110,215,184,What is the last name of the movie actor who portrayed Spartacus?,Douglas,.84,6685,7068,Curtis (6.1%),Olivier (10.2%),Strode (0.0%),.56
A,222,245,NA,NA,Which famous explorer first introduced iced desserts into Europe?,Marco Polo,.53,10725,11521,Christopher Columbus (2.0%),Ferdinand Magellan (22.4%),James Cook (22.4%),.27
B,223,262,NA,NA,What is the name of the Mediterranean island south of Turkey that is an independent republic and a member of the Commonwealth?,Cyprus,.49,11557,11164,Crete (16.3%),Malta (24.5%),Sardinia (10.2%),.23
D,225,50,165,164,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,Preakness,.92,9910,6666,Ascot (2.0%),Haskell (0.0%),Santa Anita (6.1%),.66
D,225,74,185,190,What is the last name of the author who wrote the James Bond novels?,Fleming,.90,6400,5577,Hamilton (8.2%),Saltzman (2.0%),Young (0.0%),.64
C,226,293,NA,NA,What open-air public theater was home to William Shakespeare's theatrical company?,Globe,.41,8940,11659,Avon (51.0%),Fortune (2.0%),Haven (6.1%),.15
A,228,151,NA,NA,What is a Japanese dance drama featuring stylized narrative choreographic movements?,Kabuki,.76,10532,7634,Bon Odori (8.2%),Butoh (4.1%),Kabuki (12.2%),.51
A,228,254,NA,NA,"Auguste Rodin's ""The Thinker"" is found in the garden of a museum in which city?",Paris,.51,10345,12070,Amsterdam (12.2%),Madrid (8.2%),Rome (28.6%),.26
A,228,293,NA,NA,What is Tiger Woods' real first name?,Eldrick,.41,8014,7043,Herman (8.2%),Lionel (40.8%),Timothy (10.2%),.16
D,231,274,197,216,"What is the last name of the playwright who wrote ""A Streetcar Named Desire""?",Williams,.45,8073,7355,Capote (18.4%),Kazan (6.1%),Miller (30.6%),.21
D,231,217,258,179,"What is the last name of the judge who was known as ""The Law West of the Pecos?""",Bean,.59,9228,8780,Cooper (6.1%),Earp (22.4%),Parker (12.2%),.35
B,234,74,NA,NA,What is the word meaning the promises from God to humans?,Covenant,.90,12016,7112,Contract (0.0%),Oath (4.1%),Pact (6.1%),.66
B,234,225,NA,NA,What is the last name of the cosmonaut who was the first person to orbit the earth?,Gagarin,.57,11158,7161,Kizim (10.2%),Tereshkova (26.5%),Thagard (6.1%),.33
B,234,262,NA,NA,"What word denotes the series of units of weight used to measure gold, in which a pound equals twelve ounces?",Troy,.49,13203,14800,Gram (46.9%),Pennyweight (4.1%),Tola (0.0%),.25
B,234,268,NA,NA,What do youcall a formal exercise by a team of marchers?,Drill,.82,10674,8832,Choreography (6.1%),Ensemble (0.0%),Parade (12.2%),.61
B,234,293,NA,NA,"What do you call stage entertainment consisting of various unrelated acts, such as magicians, acrobats, etc?",Vaudeville,.41,13206,10750,Circus (38.8%),Revue (18.4%),Spoof (2.0%),.17
C,238,19,NA,NA,What was the last name of the man who asked you not to squeeze the Charmin in the toilet paper commercial?,Whipple,.96,12437,7115,Douglas (2.0%),Rogers (2.0%),Smith (0.0%),.72
C,238,103,NA,NA,What was built to confine the Minotaur and now refers to a maze?,Labyrinth,.86,12809,10315,Catacomb (6.1%),Dungeon (6.1%),Leviathon (2.0%),.62
A,240,175,NA,NA,What was Bugsy Siegel's real first name?,Benjamin,.71,5830,8252,Anthony (10.2%),Meyer (8.2%),Samuel (10.2%),.49
A,240,293,NA,NA,Which first lady was the first to live in the White House?,Abigail Adams,.41,9127,17103,Dolley Madison (36.7%),Elizabeth Monroe (8.2%),Martha Jefferson (14.3%),.18
C,241,151,NA,NA,Who was the mythical Roman goddess of love?,Venus,.76,7255,12060,Athena (12.2%),Diana (12.2%),Hera (0.0%),.53
B,244,202,NA,NA,"What word means to voluntarily sacrifice (e.g., cargo) in order to lighten a ship or aircraft's load in time of distress?",Jettison,.63,17610,8303,Abandon (14.3%),Drop (12.2%),Scrap (10.2%),.41
B,244,212,NA,NA,"What is the last name of the actor who played the scarecrow in the movie, ""The Wizard of Oz""?",Bolger,.61,8905,9921,Ebsen (10.2%),Haley (16.3%),Lahr (12.2%),.39
B,244,274,NA,NA,What do you call the position of the arms when the hands are on the hips and the elbows are out?,Akimbo,.45,13505,10518,Attention (6.1%),Supine (14.3%),Teapot (34.7%),.23
B,244,327,NA,NA,What is the name of the substance derived from a whale that is used to make perfume?,Ambergris,.33,10940,11033,Blubber (38.8%),Oil (20.4%),Spermaceti (8.2%),.10
D,247,304,178,236,What is the longest river In Asia?,Yangtze,.39,6075,8923,Ganges (36.7%),Mekong (12.2%),Yellow (12.2%),.18
D,247,245,244,220,"What was the last name of the female star of the movie ""Casablanca""?",Bergman,.53,8685,8249,Bogart (0.0%),Hepburn (42.9%),Rossellini (4.1%),.32
D,247,165,255,163,"What was the last name of the Captain of the British ship ""Bounty"" when the mutiny occurred?",Bligh,.73,10240,9622,Christian (8.2%),Cook (10.2%),Laughton (8.2%),.52
A,250,293,NA,NA,Halloween traces its origins to which pagan festival?,Samhain,.41,9162,5596,Imbolc (8.2%),Lughnassadh (24.5%),Ostara (26.5%),.20
A,250,293,NA,NA,"Who wrote ""The Rime of the Ancient Mariner""?",Samuel Taylor Coleridge,.41,7158,8155,Hannah More (2.0%),Percy Bysshe Shelley (24.5%),William Blake (32.7%),.20
C,251,50,NA,NA,What was Fonzie's first name in television's 'Happy Days'?,Arthur,.92,14983,7536,Allen (4.1%),Charlie (2.0%),Ralph (2.0%),.71
B,252,123,NA,NA,What do you call a chain of rocks or coral at or near the surface of the water in an ocean?,Reef,.92,14427,8545,Bank (2.0%),Fjord (0.0%),Shoal (6.1%),.27
D,254,6.5,257,173,What is the name of Germany's largest battleship that was sunk in World War II?,Bismarck,.98,10950,7501,Gneisenau (0.0%),Kronprinz (0.0%),Tirpitz (2.0%),.78
D,254,378,269,239,What is the last name of the first man to run the mile in under four minutes?,Bannister,.20,7472,7718,Brasher (8.2%),Owens (63.3%),Santee (8.2%),.01
A,257,74,NA,NA,What album holds the world record for copies sold?,Thriller,.90,9697,9046,Back in Black (2.0%),Dark Side of the Moon (6.1%),Saturday Night Fever Soundtrack (2.0%),.70
A,257,151,NA,NA,What food is often used as a substitute for ice cream in advertising photo shoots?,Mashed Potato,.76,11702,11915,Cottage Cheese (4.1%),Milk (2.0%),Tapioca (18.4%),.56
A,257,282,NA,NA,What was Sinatra's chart-topping duet with his daughter Nancy?,Somethin' Stupid,.43,9794,8959,Jackson (2.0%),These Boots Are Made for Walkin' (16.3%),Unforgettable (38.8%),.24
A,257,304,NA,NA,What philosopher was considered the ugliest man in Athens?,Socrates,.39,9643,7983,Democritus (24.5%),Empedocles (22.4%),Plato (14.3%),.19
B,259,181,NA,NA,"What word means relating to or situated on the back, especially of an animal?",Dorsal,.69,12653,8302,Abaxial (2.0%),Anterior (22.4%),Ventral (6.1%),.51
D,260,262,270,240,"What is the last name of the author who wrote ""The Brothers Karamazov""?",Dostoyevsky,.49,9528,7064,Kafka (10.2%),Solzhenitsyn (10.2%),Tolstoy (30.6%),.31
C,261,93,NA,NA,What is the name of the obnoxious rooster in Warner Brothers cartoons?,Foghorn Leghorn,.88,20560,8476,Marvin (4.1%),Sam (2.0%),Sylvester (6.1%),.70
A,263,235,NA,NA,Who is the lead singer of Limp Bizkit?,Fred Durst,.55,9871,6897,Lil Dicky (14.3%),Lil' Kim (18.4%),Slim Shady (12.2%),.38
A,263,362,NA,NA,In 1984 Pres. Ronald Reagan won every state except one. Which one did he lose?,Minnesota,.24,8963,16853,Massachusetts (22.4%),New York (28.6%),Vermont (24.5%),.07
B,267,225,NA,NA,What is the name of the man who removed the thorn from the lion's paw in the story from Aesop's fables?,Androcles,.57,9998,13875,Cleisthenes (4.1%),Pericles (34.7%),Thucydides (4.1%),.40
B,267,268,NA,NA,What is the last name of 1980 Olympic hopeful Randy Gardener's ice skating partner?,Babilonia,.47,13263,8583,Gordeeva (10.2%),Harding (28.6%),Kwan (14.3%),.30
B,267,316,NA,NA,What is the name of the formerly independent country north of Lithuania and Latvia that was absorbed into USSR?,Estonia,.35,16329,15289,Belarus (12.2%),Serbia (20.4%),Slovakia (32.7%),.18
B,267,327,NA,NA,Who is the messenger of the gods in Greek mythology?,Hermes,.33,9536,7984,Ares (10.2%),Eos (6.1%),Mercury (51.0%),.16
D,267,217,170,228,What is the name of the Chinese religion founded by Lao Tse?,Taoism,.59,11823,8798,Confucianism (34.7%),Shamanism (0.0%),Zen (6.1%),.43
D,267,186,195,171,What was the name of Alexander Graham Bell's assistant?,Watson,.67,10048,8904,Gray (28.6%),Meucci (2.0%),Reis (2.0%),.51
A,272,202,NA,NA,What is a poem in which the first letters of each line spell a word?,An acrostic,.63,12726,13521,A haiku (14.3%),An ode (12.2%),A sestina (10.2%),.47
A,272,202,NA,NA,What story is the first to feature Edgar Allan Poe's amateur detective C. Auguste Dupin?,Murders in the Rue Morgue,.63,14216,10844,A Study in Scarlet (2.0%),The Mystery of Marie Rogêt (10.2%),The Purloined Letter (24.5%),.47
A,272,308,NA,NA,Niels Bohr used quantum mechanics to describe which element?,Hydrogen,.37,13636,11272,Carbon (26.5%),Helium (20.4%),Zinc (16.3%),.21
A,272,362,NA,NA,What is the alternative name for the Sea of Cortez?,Gulf of California,.24,11023,9990,Caribbean Sea (14.3%),Gulf of Mexico (38.8%),Gulf of Panama (22.4%),.09
A,272,412,NA,NA,Ailurophobia is the fear of what?,Cats,.08,10218,17200,Accidents (6.1%),Clowns (42.9%),Illness (42.9%),-.08
D,276,372,184,261,"What is the last name of the composer who wrote the opera ""Don Giovanni?""",Mozart,.22,6887,9343,Puccini (30.6%),Verdi (20.4%),Wagner (26.5%),.07
D,276,165,274,253,"What is the last name of the author of ""Our Town""?",Wilder,.73,7535,7127,Akins (2.0%),Berry (10.2%),Williams (14.3%),.58
B,278,254,NA,NA,"What word means to observe and offer unwanted advice or comment, especially at a card game?",Kibitz,.51,14021,12812,Chatter (26.5%),Chutzpah (14.3%),Shmooze (8.2%),.36
B,278,327,NA,NA,What is the last name of the author of Jonathan Livingston Seagull?,Bach,.33,10164,11418,Dahl (6.1%),Hemingway (22.4%),Segal (38.8%),.18
A,281,165,NA,NA,Who invented flexible photographic film?,George Eastman,.73,6841,7037,David Houston (2.0%),Louis Daguerre (12.2%),Thomas Edison (12.2%),.59
A,281,274,NA,NA,"Who said ""You'd be surprised how much it costs to look this cheap?""",Dolly Parton,.45,9971,9176,Joan Rivers (53.1%),Jessica Simpson (0.0%),Kim Kardashian (2.0%),.31
A,281,334,NA,NA,Which Egyptian god was often represented as a falcon?,Horus,.31,8362,8780,Osiris (53.1%),Seth (6.1%),Thoth (10.2%),.17
A,281,372,NA,NA,What is U2 singer Bono's real name?,Paul Hewson,.22,9316,10134,Dave Evans (6.1%),Jon Bono (42.9%),Robert Norwood (28.6%),.08
D,284,268,174,165,In which city does the Cotton Bowl take place?,Dallas,.47,9615,12769,Austin (6.1%),Houston (12.2%),New Orleans (34.7%),.33
D,284,406,207,284,What is the capital of Australia?,Canberra,.10,7013,8686,Brisbane (2.0%),Melbourne (34.7%),Sydney (53.1%),-.03
B,286,193,NA,NA,What do you call a secret agreement or pact (as between lovers)?,Tryst,.65,10721,9939,Date (0.0%),Rendezvous (24.5%),Tontine (10.2%),.52
B,286,274,NA,NA,"What was the name of the capital of the Aztec empire, which was located where Mexico City is today?",Tenochtitlan,.45,11246,11383,Mixtec (12.2%),Teotitlan (20.4%),Tlaxcala (22.4%),.32
B,286,293,NA,NA,What do you call a law that gives exclusive right of inheritance to the eldest son?,Primogeniture,.41,11283,13325,Bequest (16.3%),Estate (10.2%),Patrimony (32.7%),.28
A,288,362,NA,NA,Which lawyer and presidential adviser in 1969 became the only Supreme Court justice to resign under threat of impeachment?,Abe Fortas,.24,14985,17334,Arthur Goldberg (18.4%),William Brennan (16.3%),William O. Douglas (40.8%),.12
D,289,245,236,250,Who was the first ruler of the Holy Roman Empire?,Charlemagne,.53,9112,8047,Alexander (30.6%),Clovis (8.2%),Louis (8.2%),.41
B,290,343,NA,NA,"What is the national park in Utah, northeast of Zion, which is famous for the rock formations in its canyon?",Bryce,.29,18491,13930,Arches (16.3%),Grand Canyon (38.8%),Zion (16.3%),.17
D,292,151,166,204,What is the last name of the criminal who was killed by FBI agents outside of a Chicago movie theater?,Dillinger,.76,11746,8704,Barker (2.0%),Floyd (20.4%),Karis (2.0%),.65
D,292,165,273,252,What is the name of the instrument used to measure wind speed?,Anemometer,.73,11606,8212,Actinometer (8.2%),Ceilometer (12.2%),Pyranometer (6.1%),.63
D,292,254,275,256,"What is the last name of the singer who made a hit recording of the song ""Who's Sorry Now?""",Francis,.51,11913,7129,Darrin (16.3%),Day (20.4%),Sedaka (12.2%),.40
A,299,245,NA,NA,Who designed Central Park in New York City?,Frederick Law Olmstead,.53,7765,11009,Andre Le Notre (18.4%),Beatrix Farrand (8.2%),Jens Jensen (20.4%),.43
A,299,262,NA,NA,The Mayan and Aztec peoples used cocoa beans not only to make a delicious beverage but also as...?,Currency,.49,11982,9154,Dye (16.3%),Fertilizer (6.1%),Medicine (28.6%),.38
A,299,262,NA,NA,Which Bronte sister died of tuberculosis in 1848 and was famously buried in a coffin that was a meager 16 inches (41 cm) wide?,Emily,.49,24965,11706,Anne (22.4%),Charlotte (24.5%),Elaine (4.1%),.38
A,299,282,NA,NA,What breed of dog is known for making a yodeling noise instead of barking?,Basenji,.43,9308,8002,Mexican hairless (6.1%),New-Guinea Singing Dog (49.0%),Vizsla (2.0%),.32
A,299,293,NA,NA,What was author George Eliot's real name?,Mary Ann Evans,.41,13447,11812,Elizabeth MacKintosh (28.6%),Jessie Margaret King (14.3%),Mary Torrans Lathrap (16.3%),.30
A,299,316,NA,NA,In what geological period did birds evolve?,Jurassic,.35,8698,8679,Permian (12.2%),Pleistocene (34.7%),Triassic (18.4%),.24
A,299,316,NA,NA,Polo consists of 8 periods called what?,Chukkers,.35,10480,10171,Ends (16.3%),Octos (20.4%),Sets (28.6%),.24
A,299,316,NA,NA,With which band was David Johansen the lead singer?,The New York Dolls,.35,7838,6529,T. Rex (14.3%),The Clash (44.9%),The Stooges (6.1%),.24
A,299,362,NA,NA,What does a philomath have a love for?,Learning,.24,10238,11670,Math (32.7%),Philanthropy (12.2%),Philosophy (30.6%),.14
A,299,372,NA,NA,What was the title of Dr. Seuss' first book?,And to Think That I Saw It on Mulberry Street,.22,8561,9840,Green Eggs and Ham (22.4%),Horton Hears a Who! (14.3%),The Cat in the Hat (40.8%),.12
A,299,378,NA,NA,What was the name of George of the Jungle's pet elephant?,Shep,.20,10134,26481,Elmer (24.5%),Jumbo (28.6%),Tookie (26.5%),.10
B,306,262,NA,NA,What word means the form of something in the form of a spiral or coil?,Helix,.49,11570,11152,Funnel (8.2%),Sphere (6.1%),Spring (36.7%),.40
B,306,304,NA,NA,What do you call a verb that does not take a direct object?,Intransitive,.39,11233,10707,Active (0.0%),Passive (42.9%),Transitive (18.4%),.30
B,306,412,NA,NA,What is the last name of the candidate who ran as an independent against Reagan and Carter in 1980?,Anderson,.08,10653,6005,Nader (20.4%),Perot (63.3%),Wallace (8.2%),-.01
D,309,316,242,232,What is the name of the brightest star in the sky excluding the sun?,Sirius,.35,8347,11465,Polaris (44.9%),Rigel (6.1%),Vega (14.3%),.26
D,309,225,261,197,What is the last name of the doctor who performed the first successful human heart transplant?,Barnard,.57,7170,10090,Blackwell (12.2%),Darnell (8.2%),Mayo (22.4%),.48
C,310,193,NA,NA,What mythical creature did Perseus kill?,Medusa,.65,14375,10412,Andromeda (8.2%),Hydra (20.4%),Kraken (6.1%),.56
A,313,225,NA,NA,Who was the greatest poet of Russia's golden age?,Alexander Pushkin,.57,7692,7443,Osip Mandelstam (10.2%),Sergei Yesenin (16.3%),Yevgeny Yevtushenko (16.3%),.48
A,313,282,NA,NA,"Who wrote the ""Threepenny Opera""?",Bertolt Brecht,.43,7342,7482,Carl Zuckmayer (20.4%),Ernst Toller (28.6%),Frank Wedekind (8.2%),.34
A,313,293,NA,NA,What was the first product to have a barcode?,Wrigley gum,.41,7809,7611,Coca-cola (34.7%),Milky Way (4.1%),Wonder Bread (20.4%),.32
A,313,316,NA,NA,In which Cleveland suburb did actor Paul Newman grow up?,Shaker Heights,.35,6476,8159,Beachwood (16.3%),Cleveland Heights (24.5%),Lakewood (24.5%),.26
A,313,412,NA,NA,"The term ""op-ed"" is a shortened form of which phrase?",Opposite the editorial page,.08,11239,21467,Opinion editorial (87.8%),Optional editorial (4.1%),Open engagement (0.0%),-.01
D,317,225,286,277,What was the last name of Billy the Kid?,Bonney,.57,8992,7962,Brady (6.1%),Garrett (26.5%),James (10.2%),.50
D,317,384,288,279,From what musical is the song “Baubles Bangles And Beads”?,Kismet,.18,9801,17535,Carousel (34.7%),Gigi (22.4%),"Kiss Me, Kate (24.5%)",.11
B,318,372,NA,NA,What word means lasting only a very brief time?,Ephemeral,.22,8493,7941,Evanescent (12.2%),Timeless (2.0%),Transient (63.3%),.15
A,324,165,NA,NA,"What is the name of Ulysses Everett McGill's hair pomade of choice in ""O Brother Where Art Thou""?",Dapper Dan,.73,16028,10382,Handsome Hank (2.0%),Natty Ned (10.2%),Stylish Stu (14.3%),.66
A,324,212,NA,NA,What philosopher was imprisoned by the British government in 1918 for campaigning against war and conscription?,Bertrand Russell,.61,17669,9596,C.D. Broad (4.1%),Frank Ramsey (20.4%),Gilbert Ryle (14.3%),.54
