Set,CR Rank,T. et al. rank,N & N rank,General Knowledge Question,Correct Answer,CR (proportion of responses) – Correct,CR (proportion of responses) – DR,CR (proportion of responses) – DK,CR (proportion of responses) – CE,CR (proportion of responses) – OE,CR (response times) – Correct,CR (response times) – DR,CR (response times) – DK,CR (response times) – CE,CR (response times) – OE
B,199.5,NA,NA,What is the old name of Taiwan?,Formosa,.31,.20,.31,.17,.00,15419,23829,10995,11200,
C,201,NA,NA,What was the creature killed by Theseus which had the body of a man and the head of a bull?,Minotaur,.31,.22,.30,.15,.01,15216,16539,14147,11044,16205
D,203,153,203,In which city is Michelangelo's statue of David located?,Florence,.30,.02,.02,.67,.00,11882,21675,5976,14103,
D,203,169,189,What is the last name of the man who invented dynamite?,Nobel,.30,.09,.56,.05,.00,14272,19273,7005,21708,
D,203,259,180,What is John Kenneth Galbraith's profession?,Economist,.30,.11,.24,.35,.00,9809,11568,10200,15109,
C,205,NA,NA,Who was the bouncy and egotistical friend of Christopher Robin?,Tigger,.30,.07,.18,.42,.03,18875,19530,10810,21063,12321
A,207,NA,NA,What is a network designed to allow communication within an organization?,An intranet,.30,.05,.40,.25,.00,22483,13167,13777,19969,
A,207,NA,NA,What was invented by Wilhelm Rontgen in 1895?,X-ray machine,.30,.02,.58,.11,.00,11992,5932,7946,13628,
A,207,NA,NA,Who is the national poet of Scotland?,Robert Burns,.30,.07,.51,.12,.00,14158,10172,5262,17142,
B,209.5,NA,NA,What do you call a sharp and sudden pain in the side?,Stitch,.30,.04,.31,.35,.00,8820,38043,11990,29205,
B,209.5,NA,NA,What is the metric for gemstone quality?,Carat,.30,.09,.37,.24,.00,18197,51490,9185,40476,
D,211,196,176,"What was the last name of the composer of the ""Maple Leaf Rag""?",Joplin,.29,.06,.58,.05,.03,9199,23910,6967,17193,5726
C,212,NA,NA,What is the long process by which a dead organism turns to stone?,Petrification,.28,.06,.07,.57,.01,21869,13767,40346,21935,158735
A,214,NA,NA,What was the first feature-length motion picture with sound?,The Jazz Singer,.28,.09,.44,.19,.00,14652,14498,6868,18699,
A,214,NA,NA,Which sport has the highest amount of doping?,Cycling,.28,.00,.25,.47,.00,19921,,10045,15750,
A,214,NA,NA,What is the only nut tree native to North America?,Pecan,.28,.00,.12,.60,.00,14881,,6869,15229,
B,217.5,NA,NA,What do you call the purification or purgation of the emotions that is supposed to happen through art?,Catharsis,.28,.00,.67,.06,.00,21550,,11313,12703,
B,217.5,NA,NA,What is the name of the island on which Napoleon was born?,Corsica,.28,.11,.37,.22,.02,17157,11753,6326,9247,2603
B,217.5,NA,NA,"What is the last name of the man who said, ""I only regret that I have but one life to lose for my country""?",Hale,.28,.20,.15,.37,.00,23298,32231,7836,15899,
B,217.5,NA,NA,What is Jane Goodall famous for studying?,Chimpanzees,.28,.00,.09,.61,.02,13766,,5993,6950,1423
D,220.5,161,231,What is the city in which the baseball hall of fame is located?,Cooperstown,.27,.11,.30,.32,.00,15846,29957,16395,17366,
D,220.5,215,184,What is the last name of the movie actor who portrayed Spartacus?,Douglas,.27,.14,.30,.27,.02,17987,26993,8154,17235,15567
A,222,NA,NA,Which famous explorer first introduced iced desserts into Europe?,Marco Polo,.26,.02,.61,.11,.00,15323,22975,11958,12593,
B,223,NA,NA,What is the name of the Mediterranean island south of Turkey that is an independent republic and a member of the Commonwealth?,Cyprus,.26,.06,.52,.17,.00,17103,24961,16212,21996,
D,224.5,165,164,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,Preakness,.26,.33,.26,.15,.00,17419,33554,13336,38009,
D,224.5,185,190,What is the last name of the author who wrote the James Bond novels?,Fleming,.26,.24,.44,.06,.00,15281,18820,10692,10623,
C,226,NA,NA,What open-air public theater was home to William Shakespeare's theatrical company?,Globe,.25,.28,.34,.10,.01,13837,21823,11494,17332,16600
A,228,NA,NA,What is a Japanese dance drama featuring stylized narrative choreographic movements?,Kabuki,.25,.05,.54,.16,.00,16458,38472,8958,9470,
A,228,NA,NA,"Auguste Rodin's ""The Thinker"" is found in the garden of a museum in which city?",Paris,.25,.07,.35,.33,.00,15409,12466,6763,17381,
A,228,NA,NA,What is Tiger Woods' real first name?,Eldrick,.25,.16,.44,.16,.00,20950,11943,5779,7966,
D,230.5,197,216,"What is the last name of the playwright who wrote ""A Streetcar Named Desire""?",Williams,.24,.36,.26,.14,.00,10647,17301,11345,20307,
D,230.5,258,179,"What is the last name of the judge who was known as ""The Law West of the Pecos?""",Bean,.24,.12,.64,.00,.00,16086,15225,10501,,
B,234,NA,NA,What is the word meaning the promises from God to humans?,Covenant,.24,.07,.57,.09,.02,20923,39672,14397,17627,1436
B,234,NA,NA,What is the last name of the cosmonaut who was the first person to orbit the earth?,Gagarin,.24,.15,.41,.19,.02,21094,13735,6844,15092,204
B,234,NA,NA,"What word denotes the series of units of weight used to measure gold, in which a pound equals twelve ounces?",Troy,.24,.07,.24,.44,.00,29836,34807,21159,24430,
B,234,NA,NA,What do youcall a formal exercise by a team of marchers?,Drill,.20,.07,.48,.24,.00,9686,11489,11632,16497,
B,234,NA,NA,"What do you call stage entertainment consisting of various unrelated acts, such as magicians, acrobats, etc?",Vaudeville,.24,.07,.13,.56,.00,18930,18884,8936,14537,
C,237.5,NA,NA,What was the last name of the man who asked you not to squeeze the Charmin in the toilet paper commercial?,Whipple,.24,.27,.30,.19,.00,13727,17720,11837,16304,
C,237.5,NA,NA,What was built to confine the Minotaur and now refers to a maze?,Labyrinth,.24,.09,.57,.07,.03,17681,24425,16652,17404,14747
A,239.5,NA,NA,What was Bugsy Siegel's real first name?,Benjamin,.23,.12,.53,.12,.00,15443,13702,7205,9675,
A,239.5,NA,NA,Which first lady was the first to live in the White House?,Abigail Adams,.23,.11,.40,.26,.00,24812,13319,7548,13851,
C,241,NA,NA,Who was the mythical Roman goddess of love?,Venus,.22,.15,.07,.55,.00,10481,20048,12811,12533,
B,243.5,NA,NA,"What word means to voluntarily sacrifice (e.g., cargo) in order to lighten a ship or aircraft's load in time of distress?",Jettison,.22,.28,.39,.09,.02,25084,21433,15495,28439,1047
B,243.5,NA,NA,"What is the last name of the actor who played the scarecrow in the movie, ""The Wizard of Oz""?",Bolger,.22,.30,.41,.07,.00,18611,13955,6108,12287,
B,243.5,NA,NA,What do you call the position of the arms when the hands are on the hips and the elbows are out?,Akimbo,.22,.06,.59,.11,.02,12283,18975,14391,20245,1587
B,243.5,NA,NA,What is the name of the substance derived from a whale that is used to make perfume?,Ambergris,.22,.11,.31,.35,.00,13285,16163,14049,19117,
D,247,178,236,What is the longest river In Asia?,Yangtze,.21,.08,.33,.38,.00,18020,26663,11236,18084,
D,247,244,220,"What was the last name of the female star of the movie ""Casablanca""?",Bergman,.21,.21,.26,.32,.00,16489,30673,11285,18596,
D,247,255,163,"What was the last name of the Captain of the British ship ""Bounty"" when the mutiny occurred?",Bligh,.21,.26,.33,.18,.02,13568,17758,11469,20684,34556
A,249.5,NA,NA,Halloween traces its origins to which pagan festival?,Samhain,.21,.21,.26,.32,.00,30885,18574,12555,14578,
A,249.5,NA,NA,"Who wrote ""The Rime of the Ancient Mariner""?",Samuel Taylor Coleridge,.21,.11,.51,.18,.00,21028,8416,6387,15276,
C,251,NA,NA,What was Fonzie's first name in television's 'Happy Days'?,Arthur,.21,.36,.19,.22,.01,9824,12425,8518,19532,17451
B,252,NA,NA,What do you call a chain of rocks or coral at or near the surface of the water in an ocean?,Reef,.65,.04,.17,.15,.00,13373,24010,11476,16079,
D,253.5,257,173,What is the name of Germany's largest battleship that was sunk in World War II?,Bismarck,.20,.15,.58,.08,.00,17546,11639,10234,16802,
D,253.5,269,239,What is the last name of the first man to run the mile in under four minutes?,Bannister,.20,.29,.39,.12,.00,13070,13629,8544,10571,
A,256.5,NA,NA,What album holds the world record for copies sold?,Thriller,.19,.05,.30,.46,.00,25932,11216,8174,19628,
A,256.5,NA,NA,What food is often used as a substitute for ice cream in advertising photo shoots?,Mashed Potato,.19,.00,.44,.37,.00,29158,,10944,19367,
A,256.5,NA,NA,What was Sinatra's chart-topping duet with his daughter Nancy?,Somethin' Stupid,.19,.37,.32,.11,.02,35848,13217,11467,11553,14281
A,256.5,NA,NA,What philosopher was considered the ugliest man in Athens?,Socrates,.19,.04,.61,.16,.00,20594,7249,6896,8814,
B,259,NA,NA,"What word means relating to or situated on the back, especially of an animal?",Dorsal,.19,.06,.31,.44,.00,17108,25175,17826,19952,
D,260,270,240,"What is the last name of the author who wrote ""The Brothers Karamazov""?",Dostoyevsky,.18,.29,.35,.17,.02,20312,17265,10628,22741,18257.00
C,261,NA,NA,What is the name of the obnoxious rooster in Warner Brothers cartoons?,Foghorn Leghorn,.18,.27,.39,.15,.01,15442,16981,13138,20264,7556
A,262.5,NA,NA,Who is the lead singer of Limp Bizkit?,Fred Durst,.18,.04,.75,.04,.00,17644,5162,4291,10280,
A,262.5,NA,NA,In 1984 Pres. Ronald Reagan won every state except one. Which one did he lose?,Minnesota,.18,.14,.32,.37,.00,34411,13749,29632,14984,
B,266.5,NA,NA,What is the name of the man who removed the thorn from the lion's paw in the story from Aesop's fables?,Androcles,.17,.43,.37,.04,.00,31326,12655,11297,8455,
B,266.5,NA,NA,What is the last name of 1980 Olympic hopeful Randy Gardener's ice skating partner?,Babilonia,.17,.19,.59,.06,.00,16390,7661,9571,7556,
B,266.5,NA,NA,What is the name of the formerly independent country north of Lithuania and Latvia that was absorbed into USSR?,Estonia,.17,.11,.61,.11,.00,13973,16063,14160,23478,
B,266.5,NA,NA,Who is the messenger of the gods in Greek mythology?,Hermes,.17,.15,.30,.37,.02,20573,9507,5386,9099,1224
D,266.5,170,228,What is the name of the Chinese religion founded by Lao Tse?,Taoism,.17,.15,.27,.41,.00,16549,20342,13993,23661,
D,266.5,195,171,What was the name of Alexander Graham Bell's assistant?,Watson,.17,.30,.42,.11,.00,8786,12086,9479,18726,
A,272,NA,NA,What is a poem in which the first letters of each line spell a word?,An acrostic,.16,.07,.63,.14,.00,22330,9354,9710,16068,
A,272,NA,NA,What story is the first to feature Edgar Allan Poe's amateur detective C. Auguste Dupin?,Murders in the Rue Morgue,.16,.09,.67,.09,.00,31622,13857,7980,10150,
A,272,NA,NA,Niels Bohr used quantum mechanics to describe which element?,Hydrogen,.16,.04,.60,.21,.00,16408,8823,7726,16595,
A,272,NA,NA,What is the alternative name for the Sea of Cortez?,Gulf of California,.16,.05,.61,.18,.00,33543,8571,5307,14776,
A,272,NA,NA,Ailurophobia is the fear of what?,Cats,.16,.11,.54,.19,.00,23270,16096,10261,14244,
D,275.5,184,261,"What is the last name of the composer who wrote the opera ""Don Giovanni?""",Mozart,.15,.15,.47,.23,.00,12890,11289,9230,11911,
D,275.5,274,253,"What is the last name of the author of ""Our Town""?",Wilder,.15,.39,.29,.15,.02,8889,12942,9899,14399,7210.00
B,277.5,NA,NA,"What word means to observe and offer unwanted advice or comment, especially at a card game?",Kibitz,.15,.11,.63,.11,.00,18413,14267,16651,26847,
B,277.5,NA,NA,What is the last name of the author of Jonathan Livingston Seagull?,Bach,.15,.33,.37,.13,.02,32444,10649,7267,16826,1058
A,280.5,NA,NA,Who invented flexible photographic film?,George Eastman,.14,.02,.47,.37,.00,18771,10976,6508,10567,
A,280.5,NA,NA,"Who said ""You'd be surprised how much it costs to look this cheap?""",Dolly Parton,.14,.02,.60,.23,.02,16053,9550,6320,26671,6635
A,280.5,NA,NA,Which Egyptian god was often represented as a falcon?,Horus,.14,.07,.56,.23,.00,20733,9235,7019,9759,
A,280.5,NA,NA,What is U2 singer Bono's real name?,Paul Hewson,.14,.14,.60,.12,.00,28549,10073,4676,13602,
D,283.5,174,165,In which city does the Cotton Bowl take place?,Dallas,.14,.12,.29,.45,.00,8941,18173,11757,19731,
D,283.5,207,284,What is the capital of Australia?,Canberra,.14,.11,.08,.68,.00,10217,29768,6353,12974,
B,286,NA,NA,What do you call a secret agreement or pact (as between lovers)?,Tryst,.13,.17,.50,.20,.00,11224,28895,20193,20711,
B,286,NA,NA,"What was the name of the capital of the Aztec empire, which was located where Mexico City is today?",Tenochtitlan,.13,.30,.52,.06,.00,19826,12445,16208,16009,
B,286,NA,NA,What do you call a law that gives exclusive right of inheritance to the eldest son?,Primogeniture,.13,.09,.63,.13,.02,32369,100482,12464,28574,1422
A,288,NA,NA,Which lawyer and presidential adviser in 1969 became the only Supreme Court justice to resign under threat of impeachment?,Abe Fortas,.12,.16,.56,.16,.00,58768,16354,13337,18721,
D,289,236,250,Who was the first ruler of the Holy Roman Empire?,Charlemagne,.12,.18,.20,.50,.00,15337,18988,11463,16869,
B,290,NA,NA,"What is the national park in Utah, northeast of Zion, which is famous for the rock formations in its canyon?",Bryce,.11,.11,.48,.30,.00,11623,20662,12561,34242,
D,292,166,204,What is the last name of the criminal who was killed by FBI agents outside of a Chicago movie theater?,Dillinger,.11,.26,.23,.41,.00,16426,25934,16669,21629,
D,292,273,252,What is the name of the instrument used to measure wind speed?,Anemometer,.11,.35,.29,.26,.00,13160,24394,16035,19183,
D,292,275,256,"What is the last name of the singer who made a hit recording of the song ""Who's Sorry Now?""",Francis,.11,.24,.32,.33,.00,18159,25518,16721,20427,
A,299,NA,NA,Who designed Central Park in New York City?,Frederick Law Olmstead,.11,.14,.61,.14,.00,36316,7522,7969,15723,
A,299,NA,NA,The Mayan and Aztec peoples used cocoa beans not only to make a delicious beverage but also as...?,Currency,.11,.02,.42,.46,.00,16839,14289,12274,16392,
A,299,NA,NA,Which Bronte sister died of tuberculosis in 1848 and was famously buried in a coffin that was a meager 16 inches (41 cm) wide?,Emily,.11,.02,.67,.21,.00,29157,4482,9981,18630,
A,299,NA,NA,What breed of dog is known for making a yodeling noise instead of barking?,Basenji,.11,.04,.60,.26,.00,21285,6231,6610,12449,
A,299,NA,NA,What was author George Eliot's real name?,Mary Ann Evans,.11,.16,.63,.11,.00,23669,9986,5990,18985,
A,299,NA,NA,In what geological period did birds evolve?,Jurassic,.11,.04,.70,.16,.00,15563,12689,7598,11431,
A,299,NA,NA,Polo consists of 8 periods called what?,Chukkers,.11,.07,.67,.16,.00,21285,9136,5721,14133,
A,299,NA,NA,With which band was David Johansen the lead singer?,The New York Dolls,.11,.12,.70,.07,.00,23285,11808,6719,10027,
A,299,NA,NA,What does a philomath have a love for?,Learning,.11,.02,.44,.44,.00,40747,6116,8350,11217,
A,299,NA,NA,What was the title of Dr. Seuss' first book?,And to Think That I Saw It on Mulberry Street,.11,.07,.26,.54,.02,39341,7315,7440,12195,4478
A,299,NA,NA,What was the name of George of the Jungle's pet elephant?,Shep,.11,.16,.60,.14,.00,33914,9662,7684,8908,
B,306,NA,NA,What word means the form of something in the form of a spiral or coil?,Helix,.09,.13,.46,.31,.00,14271,27586,17240,21407,
B,306,NA,NA,What do you call a verb that does not take a direct object?,Intransitive,.09,.15,.37,.37,.02,12782,18412,8718,14873,1535
B,306,NA,NA,What is the last name of the candidate who ran as an independent against Reagan and Carter in 1980?,Anderson,.09,.33,.20,.37,.00,24007,19857,15882,14512,
D,308.5,242,232,What is the name of the brightest star in the sky excluding the sun?,Sirius,.09,.17,.21,.53,.00,11556,22064,17745,16119,
D,308.5,261,197,What is the last name of the doctor who performed the first successful human heart transplant?,Barnard,.09,.56,.21,.14,.00,13421,16996,12359,13273,
C,310,NA,NA,What mythical creature did Perseus kill?,Medusa,.09,.10,.45,.33,.03,21333,11692,9114,15287,19954
A,313,NA,NA,Who was the greatest poet of Russia's golden age?,Alexander Pushkin,.09,.02,.75,.14,.00,20525,11523,5359,16082,
A,313,NA,NA,"Who wrote the ""Threepenny Opera""?",Bertolt Brecht,.09,.11,.65,.16,.00,12969,10299,5859,9852,
A,313,NA,NA,What was the first product to have a barcode?,Wrigley gum,.09,.07,.70,.14,.00,12826,8190,6569,19163,
A,313,NA,NA,In which Cleveland suburb did actor Paul Newman grow up?,Shaker Heights,.09,.04,.77,.11,.00,15439,4394,6829,9603,
A,313,NA,NA,"The term ""op-ed"" is a shortened form of which phrase?",Opposite the editorial page,.09,.05,.14,.72,.00,25210,20903,24251,20171,
D,316.5,286,277,What was the last name of Billy the Kid?,Bonney,.08,.18,.62,.12,.00,10035,13799,8053,31135,
D,316.5,288,279,From what musical is the song “Baubles Bangles And Beads”?,Kismet,.08,.23,.56,.14,.00,15043,18352,9284,30152,
B,318,NA,NA,What word means lasting only a very brief time?,Ephemeral,.07,.11,.17,.65,.00,10347,27578,13110,19020,
A,324,NA,NA,"What is the name of Ulysses Everett McGill's hair pomade of choice in ""O Brother Where Art Thou""?",Dapper Dan,.07,.16,.68,.09,.00,20230,13041,10119,11102,
A,324,NA,NA,What philosopher was imprisoned by the British government in 1918 for campaigning against war and conscription?,Bertrand Russell,.07,.04,.79,.11,.00,12712,6899,8768,16539,
A,324,NA,NA,The theme tune for 'Monty Python's Flying Circus' was written by which composer?,John Philip Sousa,.07,.04,.74,.16,.00,11039,15978,5406,11159,
A,324,NA,NA,What is a chord consisting of three tones of a diatonic scale called?,Triad,.07,.11,.72,.11,.00,8144,10207,8345,9650,
A,324,NA,NA,What was the name of the U.S. surveillance ship that was attacked by North Vietnam in the Gulf of Tonkin?,USS Maddox,.07,.35,.44,.14,.00,29591,11837,12397,17125,
A,324,NA,NA,What do A. E. Housman's initials stand for?,Alfred Edward,.07,.05,.77,.11,.00,9415,12839,7349,11795,
A,324,NA,NA,"In which film did Doris Day sing the Oscar winning song ""Secret Love""?",Calamity Jane,.07,.14,.65,.14,.00,31604,11193,7489,26195,
A,324,NA,NA,Which first lady initiated the Easter egg roll on the White House lawn?,Lucy Hayes,.07,.07,.33,.53,.00,21233,22281,11368,19008,
A,324,NA,NA,"Who is the author of ""Ozymandias""?",Percy Bysshe Shelley,.07,.07,.75,.11,.00,15205,11468,6705,13483,
A,324,NA,NA,What is LL Cool J.'s real name?,James Todd Smith,.07,.09,.70,.14,.00,25102,7285,4660,9084,
A,324,NA,NA,Aldebaran is the brightest star in which constellation?,Taurus,.07,.02,.68,.23,.00,43832,4806,6541,9553,
B,330,NA,NA,What do you call a solemn declaration made by a person who conscientiously declines taking an oath?,Affirmation,.06,.07,.46,.41,.00,33333,33898,21773,20778,
A,331,NA,NA,Who assassinated Mohandas Gandhi?,A Hindu nationalist,.05,.18,.68,.09,.00,80718,5162,6071,12428,
A,338.5,NA,NA,What were the first tennis racket strings made of?,Sheep gut,.05,.00,.26,.68,.00,65887,,12367,9068,
A,338.5,NA,NA,Myosotis is the latin name for which type of flower?,Forget-Me-Not,.05,.02,.77,.16,.00,35891,10667,13684,11348,
A,338.5,NA,NA,What is the world governing body of tennis?,International Tennis Federation,.05,.07,.63,.25,.00,20699,10550,9707,13956,
A,338.5,NA,NA,"Who was the lead vocalist for 'The Dakotas' during the 1960s?""",Billy J. Kramer,.05,.02,.86,.07,.00,22038,8985,7820,14865,
A,338.5,NA,NA,Where were the 1952 Olympics held?,Helsinki,.05,.14,.53,.28,.00,23330,12450,5344,16238,
A,338.5,NA,NA,The 1912 Summer Olympics were held in what city?,Stockholm,.05,.00,.58,.37,.00,23785,,6357,13951,
A,338.5,NA,NA,"W. Somerset Maugham's 1919 novel ""The Moon and Sixpence"" is based on the life of what artist?",Paul Gauguin,.05,.00,.81,.14,.00,10106,,8766,14850,
A,338.5,NA,NA,In which city is the Encyclopedia Britannica published?,Chicago,.05,.00,.46,.49,.00,36673,,8252,12085,
A,338.5,NA,NA,Who discovered the law of electrolysis?,Michael Faraday,.05,.05,.77,.12,.00,16759,9599,4773,13635,
A,338.5,NA,NA,"Which French author's novel ""Germinal"" depicts life in a mining community?",Emile Zola,.05,.02,.82,.11,.00,11587,7068,8166,11823,
A,338.5,NA,NA,What was the most played song on the radio in the United States during the 20th century?,You've Lost That Lovin' Feelin',.05,.04,.51,.40,.00,63740,11777,11603,20277,
A,338.5,NA,NA,What is Australia's highest mountain?,Mount Kosciuszko,.05,.04,.81,.11,.00,33928,5988,4693,10465,
A,338.5,NA,NA,Tony Drago is a snooker professional from which country?,Malta,.05,.00,.63,.32,.00,18428,,5170,13894,
A,338.5,NA,NA,Who was the first person to admit to practicing witchcraft in Salem?,Tituba,.05,.09,.74,.12,.00,16089,12010,6574,17484,
D,346.5,208,259,"What is the last name of the artist who painted ""The Persistence of Memory""?",Dali,.05,.03,.88,.05,.00,6984,9294,8272,23703,
D,346.5,279,266,"What is the last name of the author of ""The Agony and the Ecstasy""?",Stone,.05,.39,.47,.09,.00,14587,14959,8578,18728,
B,348,NA,NA,What word means to deposit (something valuable) as a security for money borrowed?,Pawn,.04,.07,.07,.81,.00,31271,23299,9451,20206,
A,359,NA,NA,Jockey Lester Piggott served 3 years in prison for what crime?,Tax evasion,.04,.02,.67,.28,.00,35531,10254,8784,15413,
A,359,NA,NA,What is the capital of Guinea-Bissau?,Bissau,.04,.00,.88,.09,.00,26390,,5508,10835,
A,359,NA,NA,"Who patented a burglar proof lock described as ""magic and infallible""?",Linus Yale,.04,.00,.77,.19,.00,6951,,10869,18322,
A,359,NA,NA,What was the first graphical browser for the World Wide Web?,Mosaic,.04,.19,.40,.37,.00,14467,13427,18345,18816,
A,359,NA,NA,What is Spike Milligan's real first name?,Terence,.04,.00,.79,.18,.00,24581,,5104,7134,
A,359,NA,NA,"Who was the famous actor who played the Swedish Chef's uncle in an episode of ""The Muppet Show""?",Danny Kaye,.04,.07,.82,.07,.00,17850,11195,8541,11022,
A,359,NA,NA,Who became Archbishop of Canterbury in 1980?,Robert Runcie,.04,.04,.84,.09,.00,40382,8301,6372,10824,
A,359,NA,NA,What opera by Giacomo Puccini was left unfinished at his death?,Turandot,.04,.05,.82,.09,.00,21760,15518,5792,10938,
A,359,NA,NA,Which Cleveland mayor was the first African American mayor of a major U.S. city?,Carl Stokes,.04,.16,.72,.09,.00,16633,8581,7951,10417,
A,359,NA,NA,What is the largest known butterfly?,Queen Alexandra's Birdwing,.04,.02,.56,.39,.00,28945,10710,6795,11331,
A,359,NA,NA,Who ruled Jerusalem from 1099 to 1187 CE?,European Crusaders,.04,.05,.53,.39,.00,27699,16859,10032,16245,
A,359,NA,NA,Name the title character of a popular rap-themed video game that was originally released on the Sony PlayStation in 1996.,PaRappa the Rapper,.04,.00,.84,.12,.00,11024,,11773,13394,
A,359,NA,NA,What was the first rap song to hit number one on the Billboard Hot 100 chart?,Ice Ice Baby,.04,.02,.81,.14,.00,31573,14267,7820,22162,
A,359,NA,NA,Which British city was named Deva by the Romans?,Chester,.04,.00,.67,.30,.00,30408,,6713,9990,
A,359,NA,NA,"Who wrote the 1859 novel ""Oblomov"" whose lazy and daydreaming titular character satirizes the contemporary Russian nobility?",Ivan Goncharov,.04,.04,.77,.16,.00,15504,8821,7708,14721,
A,359,NA,NA,The ice-cream cone originates from what American state?),Missouri,.04,.02,.42,.53,.00,9370,6016,6849,15466,
A,359,NA,NA,What does a brandophile collect?,Cigar bands,.04,.00,.67,.30,.00,20645,,7719,14666,
A,359,NA,NA,Which baseball player holds the record for most professional hits across all baseball leagues?,Ichiro Suzuki,.04,.07,.39,.51,.00,17143,24274,11393,16441,
A,359,NA,NA,Who received the 1951 Nobel prize in physics?,Ernest Walton,.04,.02,.68,.25,.02,27616,3779,7475,11163,2300
A,359,NA,NA,What is the name for Earth on the Little Prince's planet?,Asteroid MU-330,.04,.02,.84,.09,.02,23985,10111,6521,16990,484
A,359,NA,NA,What is the name given to the short tail of a rabbit?,Scut,.04,.05,.44,.47,.00,33676,22513,11839,14848,
D,370.5,282,270,What is the last name of the discoverer of the vaccination for smallpox?,Jenner,.03,.38,.30,.29,.00,15349,17347,15901,17995,
D,370.5,292,287,"What is the last name of the poet who wrote the line ""Into each life a little rain must fall""?",Longfellow,.03,.17,.68,.11,.02,19172,12322,10961,15474,6360.00
B,372,NA,NA,What do you call the weapon used by Indians and gauchos of South America to entangle the legs of cattle and other animals?,Bola,.02,.09,.31,.57,.00,14187,17274,10183,11157,
A,384,NA,NA,What school did Billy Bunter attend?,Greyfriars,.02,.00,.86,.12,.00,36425,,5627,8578,
A,384,NA,NA,Who is the patron saint of Armenia?,St. Gregory,.02,.02,.86,.11,.00,23513,5000,6777,9907,
A,384,NA,NA,What is the name for a curry made of spinach and cheese?,Palak Paneer,.02,.05,.79,.14,.00,6519,9198,8748,13263,
A,384,NA,NA,Who was Australia's first prime minister?,Edmund Barton,.02,.00,.88,.11,.00,20938,,4767,7679,
A,384,NA,NA,What is caterpillar waste called?,Frass,.02,.04,.67,.28,.00,17023,8902,6455,9221,
A,384,NA,NA,What is the basic unit of currency for Myanmar?,Kyat,.02,.02,.82,.14,.00,23922,19752,7474,8504,
A,384,NA,NA,What Latin American author wrote in green ink?,Pablo Neruda,.02,.04,.81,.14,.00,63131,6615,6770,12664,
A,384,NA,NA,Who is the Hindu god associated with rain?,Indra,.02,.02,.81,.16,.00,21960,3316,5507,8357,
A,384,NA,NA,Gwendolyn Brooks won a Pulitzer in 1950 for which book of poems?,Annie Allen,.02,.04,.88,.07,.00,36469,6919,14028,11925,
A,384,NA,NA,Who invented the aerosol spray can?,Erik Rotheim,.02,.04,.88,.07,.00,30853,18156,7536,11005,
A,384,NA,NA,"Who is the only one of Milton's contemporaries to be mentioned by name in""Paradise Lost""?",Galileo,.02,.09,.75,.14,.00,24965,13004,8020,14513,
A,384,NA,NA,What type of Cubism incorporated pieces of newspaper?,Synthetic Cubism,.02,.04,.77,.18,.00,41332,12809,7997,19329,
A,384,NA,NA,"Who sang ""Amityville House On The Hill""?",Lovebug Starski,.02,.00,.91,.07,.00,26174,,4826,9930,
A,384,NA,NA,Which German duo have sold over 85 million records?,Modern Talking,.02,.04,.79,.16,.00,30052,11138,12244,22857,
A,384,NA,NA,In which British national daily newspaper does Rupert The Bear appear?,The Daily Express,.02,.00,.75,.23,.00,25434,,5703,15536,
A,384,NA,NA,What is the tallest mountain in Iran?,Mount Damavand,.02,.02,.88,.09,.00,17115,5116,4461,6989,
A,384,NA,NA,What was the name of William Wordsworth's sister?,Dorothy,.02,.02,.79,.18,.00,22380,9899,5376,7361,
A,384,NA,NA,Which team won the first World Series in 1903?,Boston Americans,.02,.02,.58,.39,.00,26686,7780,6462,12324,
A,384,NA,NA,What television talent show did Mary Hopkin win?,Opportunity Knocks,.02,.00,.84,.14,.00,58720,,8310,25501,
A,384,NA,NA,What is the name of the woman Romeo is infatuated with before he meets Juliet?,Rosaline,.02,.19,.65,.14,.00,19058,10446,9822,14098,
A,384,NA,NA,Which Suffolk town was the birthplace of Benjamin Britten?,Lowestoft,.02,.00,.86,.12,.00,29768,,5166,28439,
A,384,NA,NA,What liqueur goes into making a 'Snowball' cocktail?,Advocaat,.02,.00,.70,.28,.00,26015,,12779,14928,
A,384,NA,NA,Alan McGee signed Oasis to which label in 1993?,Creation,.02,.02,.79,.18,.00,35046,4812,6032,11608,
D,398.5,203,286,What is the last name of the twenty-first U.S. President?,Arthur,.02,.27,.36,.35,.00,45963,13687,11887,22267,
D,398.5,220,296,What is the last name of the man who supposedly killed Jesse James?,Ford,.02,.30,.39,.29,.00,5337,13886,10878,23342,
D,398.5,229,297,What is the last name of the First American author to win the Nobel Prize for Literature?,Lewis,.02,.06,.70,.23,.00,13019,20264,12598,30700,
D,398.5,240,288,What was the name of the nuclear submarine that sunk in the Atlantic in 1963?,Thresher,.02,.35,.52,.11,.02,9856,15156,11049,18355,7720
D,398.5,281,269,What is the name of the first movie to receive the Academy Award for Best Picture?,Wings,.02,.06,.61,.32,.00,4146,9859,10352,24511,
D,398.5,291,283,What is the name of a number two wood in golf?,Brassie,.02,.05,.61,.33,.00,9641,25130,11792,14946,
A,411.5,NA,NA,What is the first-person plural pronoun in Hindi?,Hum,.00,.00,.88,.12,.00,,,8843,13014,
