,Question,Correct_Answer_Text,fr_model_answer,x_fr_correct,y_fr_correct,final_ruling
292,"What is the last name of the singer who made a hit recording of the song ""Who's Sorry Now?""",Francis,Eddy},N,N,N
293,Who designed Central Park in New York City?,Frederick Law Olmstead,Frederick Law Olmsted and Calvert Vaux},Y,Y,Y
294,The Mayan and Aztec peoples used cocoa beans not only to make a delicious beverage but also as...?,Currency,Money}.,N,Y,Y
295,Which Bronte sister died of tuberculosis in 1848 and was famously buried in a coffin that was a meager 16 inches (41 cm) wide?,Emily,Emily Bronte}.,Y,Y,Y
296,What breed of dog is known for making a yodeling noise instead of barking?,Basenji,Alaskan Malamute},N,N,N
297,What was author George Eliot's real name?,Mary Ann Evans,Mary Ann Evans}.,Y,Y,Y
298,In what geological period did birds evolve?,Jurassic,Cretaceous}.,N,N,N
299,Polo consists of 8 periods called what?,Chukkers,Chukkers},Y,Y,Y
300,With which band was David Johansen the lead singer?,The New York Dolls,The New York Dolls}.,Y,Y,Y
301,What does a philomath have a love for?,Learning,Mathematics},N,N,N
302,What was the title of Dr. Seuss' first book?,And to Think That I Saw It on Mulberry Street,And to Think That I Saw It on Mulberry Street},Y,Y,Y
303,What was the name of George of the Jungle's pet elephant?,Shep,Stan},N,N,N
304,What word means the form of something in the form of a spiral or coil?,Helix,Coil},N,N,N
305,What do you call a verb that does not take a direct object?,Intransitive,Intransitive verb},Y,Y,Y
306,What is the last name of the candidate who ran as an independent against Reagan and Carter in 1980?,Anderson,Anderson}.,Y,Y,Y
307,What is the name of the brightest star in the sky excluding the sun?,Sirius,Sirio},N,Y,N
308,What is the last name of the doctor who performed the first successful human heart transplant?,Barnard,Barnard}.,Y,Y,Y
309,What mythical creature did Perseus kill?,Medusa,Medusa}.,Y,Y,Y
310,Who was the greatest poet of Russia's golden age?,Alexander Pushkin,Alexander Pushkin},Y,Y,Y
311,"Who wrote the ""Threepenny Opera""?",Bertolt Brecht,Bertolt Brecht and Kurt Weill},Y,Y,Y
312,What was the first product to have a barcode?,Wrigley gum,1970 - Tricon (later known as the Universal Product Code or UPC)},N,N,N
313,In which Cleveland suburb did actor Paul Newman grow up?,Shaker Heights,Western Reserve Hills},N,N,N
314,"The term ""op-ed"" is a shortened form of which phrase?",Opposite the editorial page,Opinion-editorial},N,N,N
315,What was the last name of Billy the Kid?,Bonney,Casper}.,N,N,N
316,"From what musical is the song ""Baubles Bangles And Beads""?",Kismet,Cinderella}.,N,N,N
317,What word means lasting only a very brief time?,Ephemeral,Brief},N,N,N
318,"What is the name of Ulysses Everett McGill's hair pomade of choice in ""O Brother Where Art Thou""?",Dapper Dan,Wildroot},N,N,N
319,What philosopher was imprisoned by the British government in 1918 for campaigning against war and conscription?,Bertrand Russell,Bertrand Russell}.,Y,Y,Y
320,The theme tune for 'Monty Python's Flying Circus' was written by which composer?,John Philip Sousa,John Cleese}.,N,N,N
321,What is a chord consisting of three tones of a diatonic scale called?,Triad,Triad},Y,Y,Y
322,What was the name of the U.S. surveillance ship that was attacked by North Vietnam in the Gulf of Tonkin?,USS Maddox,Maddox}.,Y,Y,Y
323,What do A. E. Housman's initials stand for?,Alfred Edward,A. E. Housman's initials stand for Alfred Edward Housman.},Y,Y,Y
324,"In which film did Doris Day sing the Oscar winning song ""Secret Love""?",Calamity Jane,"1954 - ""Romance on the High Seas""}",N,N,N
325,Which first lady initiated the Easter egg roll on the White House lawn?,Lucy Hayes,1969 - Pat Nixon}.,N,N,N
326,"Who is the author of ""Ozymandias""?",Percy Bysshe Shelley,Percy Bysshe Shelley},Y,Y,Y
327,What is LL Cool J.'s real name?,James Todd Smith,James Todd Smith}.,Y,Y,Y
328,Aldebaran is the brightest star in which constellation?,Taurus,Taurus},Y,Y,Y
329,What do you call a solemn declaration made by a person who conscientiously declines taking an oath?,Affirmation,Affirmation},Y,Y,Y
330,Who assassinated Mohandas Gandhi?,A Hindu nationalist,1948 - Nathuram Godse}.,Y,Y,Y
331,What were the first tennis racket strings made of?,Sheep gut,Cord}.,N,N,N
332,Myosotis is the latin name for which type of flower?,Forget-Me-Not,Myosotis is the Latin name for the forget-me-not flower.},Y,Y,Y
333,What is the world governing body of tennis?,International Tennis Federation,ITF}.,Y,Y,Y
334,"Who was the lead vocalist for 'The Dakotas' during the 1960s?""",Billy J. Kramer,John Lennon}.,N,N,N
335,Where were the 1952 Olympics held?,Helsinki,"Helsinki, Finland}",Y,Y,Y
336,The 1912 Summer Olympics were held in what city?,Stockholm,Stockholm},Y,Y,Y
337,"W. Somerset Maugham's 1919 novel ""The Moon and Sixpence"" is based on the life of what artist?",Paul Gauguin,Paul Gauguin},Y,Y,Y
338,In which city is the Encyclopedia Britannica published?,Chicago,Chicago},Y,Y,Y
339,Who discovered the law of electrolysis?,Michael Faraday,J.J. Thomson (1897)},N,N,N
340,"Which French author's novel ""Germinal"" depicts life in a mining community?",Emile Zola,Emile Zola},Y,Y,Y
341,What was the most played song on the radio in the United States during the 20th century?,You've Lost That Lovin' Feelin',"""Hound Dog"" by Elvis Presley (1956)}",N,N,N
342,What is Australia's highest mountain?,Mount Kosciuszko,"Mount Everest (8,848 meters)}",N,N,N
343,Tony Drago is a snooker professional from which country?,Malta,Malta}.,Y,Y,Y
344,Who was the first person to admit to practicing witchcraft in Salem?,Tituba,Giles Corey (1692)},N,N,N
345,"What is the last name of the artist who painted ""The Persistence of Memory""?",Dali,Surrealist artist Salvador Dali}{1931}.,Y,Y,Y
346,"What is the last name of the author of ""The Agony and the Ecstasy""?",Stone,Hemingway},N,N,N
347,What word means to deposit (something valuable) as a security for money borrowed?,Pawn,Pledge},N,N,N
348,Jockey Lester Piggott served 3 years in prison for what crime?,Tax evasion,1999: tax evasion},Y,Y,Y
349,What is the capital of Guinea-Bissau?,Bissau,Bissau}.,Y,Y,Y
350,"Who patented a burglar proof lock described as ""magic and infallible""?",Linus Yale,Albert Einstein (1908)},N,N,N
351,What was the first graphical browser for the World Wide Web?,Mosaic,Mosaic},Y,Y,Y
352,What is Spike Milligan's real first name?,Terence,Spike}{Milligan}.,N,N,N
353,"Who was the famous actor who played the Swedish Chef's uncle in an episode of ""The Muppet Show""?",Danny Kaye,1977 - Vincent Price},N,N,N
354,Who became Archbishop of Canterbury in 1980?,Robert Runcie,Runcie}.,Y,Y,Y
355,What opera by Giacomo Puccini was left unfinished at his death?,Turandot,La Bohème}.,N,N,N
356,Which Cleveland mayor was the first African American mayor of a major U.S. city?,Carl Stokes,Cory Booker}.,N,N,N
357,What is the largest known butterfly?,Queen Alexandra's Birdwing,Queen Alexandra's Birdwing (Ornithoptera alexandrae) - 25 cm (10 in) wingspan}.,Y,Y,Y
358,Who ruled Jerusalem from 1099 to 1187 CE?,European Crusaders,Saladin}.,N,N,N
359,Name the title character of a popular rap-themed video game that was originally released on the Sony PlayStation in 1996.,PaRappa the Rapper,Raphael}.,N,N,N
360,What was the first rap song to hit number one on the Billboard Hot 100 chart?,Ice Ice Baby,"1980 - ""Rapper's Delight"" by The Sugarhill Gang}.",N,N,N
361,Which British city was named Deva by the Romans?,Chester,London}.,N,N,N
362,"Who wrote the 1859 novel ""Oblomov"" whose lazy and daydreaming titular character satirizes the contemporary Russian nobility?",Ivan Goncharov,Ivan Goncharov},Y,Y,Y
363,The ice-cream cone originates from what American state?),Missouri,New York}.,N,N,N
364,What does a brandophile collect?,Cigar bands,Brand names},N,N,N
365,Which baseball player holds the record for most professional hits across all baseball leagues?,Ichiro Suzuki,Hank Aaron}{1954}.,N,N,N
366,Who received the 1951 Nobel prize in physics?,Ernest Walton,"W. Shockley, F. London, and H. Townes}",N,N,N
367,What is the name for Earth on the Little Prince's planet?,Asteroid MU-330,B-612}.,N,?,?
368,What is the name given to the short tail of a rabbit?,Scut,Tush}.,N,N,N
369,What is the last name of the discoverer of the vaccination for smallpox?,Jenner,Edward Jenner},Y,Y,Y
370,"What is the last name of the poet who wrote the line ""Into each life a little rain must fall""?",Longfellow,Emily Dickinson},N,N,N
371,What do you call the weapon used by Indians and gauchos of South America to entangle the legs of cattle and other animals?,Bola,Lasso}.,N,N,N
372,What school did Billy Bunter attend?,Greyfriars,Dalton School},N,N,N
373,Who is the patron saint of Armenia?,St. Gregory,Gregory the Illuminator}.,Y,Y,Y
374,What is the name for a curry made of spinach and cheese?,Palak Paneer,Palak Paneer},Y,Y,Y
375,Who was Australia's first prime minister?,Edmund Barton,Sir Edmund Barton}{1901},Y,Y,Y
376,What is caterpillar waste called?,Frass,Silk},N,N,N
377,What is the basic unit of currency for Myanmar?,Kyat,Kyat (K)},Y,Y,Y
378,What Latin American author wrote in green ink?,Pablo Neruda,Gabriel Garcia Marquez},N,N,N
379,Who is the Hindu god associated with rain?,Indra,Vishnu},N,N,N
380,Gwendolyn Brooks won a Pulitzer in 1950 for which book of poems?,Annie Allen,Annie Allen},Y,Y,Y
381,Who invented the aerosol spray can?,Erik Rotheim,1927 - Walter Deubler},N,N,N
382,"Who is the only one of Milton's contemporaries to be mentioned by name in""Paradise Lost""?",Galileo,John Milton}.,N,N,N
383,What type of Cubism incorporated pieces of newspaper?,Synthetic Cubism,Cubism (1913-1914)},N,N,N
384,"Who sang ""Amityville House On The Hill""?",Lovebug Starski,The Ronettes},N,N,N
385,Which German duo have sold over 85 million records?,Modern Talking,Beatles}.,N,N,N
386,In which British national daily newspaper does Rupert The Bear appear?,The Daily Express,The Daily Telegraph}.,N,N,N
387,What is the tallest mountain in Iran?,Mount Damavand,Dena Mountain},N,N,N
388,What was the name of William Wordsworth's sister?,Dorothy,Dorothy}.,Y,Y,Y
389,Which team won the first World Series in 1903?,Boston Americans,Boston Red Sox}.,N,Y,Y
390,What television talent show did Mary Hopkin win?,Opportunity Knocks,1967 - New Faces},N,N,N
391,What is the name of the woman Romeo is infatuated with before he meets Juliet?,Rosaline,Rosaline}.,Y,Y,Y
392,Which Suffolk town was the birthplace of Benjamin Britten?,Lowestoft,Aldeburgh}.,N,N,N
393,What liqueur goes into making a 'Snowball' cocktail?,Advocaat,Cream},N,N,N
394,Alan McGee signed Oasis to which label in 1993?,Creation,Creation Records}.,Y,Y,Y
395,What is the last name of the twenty-first U.S. President?,Arthur,Bush},N,N,N
396,What is the last name of the man who supposedly killed Jesse James?,Ford,Bob Ford},N,Y,Y
397,What is the last name of the First American author to win the Nobel Prize for Literature?,Lewis,"1930: Faulkner, William}.",N,N,N
398,What was the name of the nuclear submarine that sunk in the Atlantic in 1963?,Thresher,Thresher},Y,Y,Y
399,What is the name of the first movie to receive the Academy Award for Best Picture?,Wings,Wings (1927)},Y,Y,Y
400,What is the name of a number two wood in golf?,Brassie,9-iron},N,N,N
401,What is the first-person plural pronoun in Hindi?,Hum,मैं (main)},N,N,N
402,"Who dubbed Australia ""the lucky country""?",Donald Horne,Donald Horne (1964)},Y,Y,Y
403,Which Pulitzer Prize winner has won more than twice?,Robert Frost,"Saul Bellow, 1976, 1978}",N,N,N
404,"What was the first newspaper to utilize advertisements for revenue and the ""penny paper"" format?",The Sun,1833 - The Penny Black}.,N,N,N
405,What is the capital of Burundi?,Bujumbura,Bujumbura},Y,Y,Y
406,Which country won the first women's Olympic handball gold medal in 1976?,The Soviet Union,USSR}.,Y,Y,Y
407,A sufferer from Boanthropy believes he is what?,An ox,A cow}.,N,Y,Y
408,Which animal has the widest hearing range?,Dolphin,Echolocation in bats: 20-120 kHz}.,N,N,N
409,What is the name of a dried legume?,Pulse,Bean},N,N,N
410,"What was the name of Grotbags' pet in the TV show ""Emu's World""?",Croc,Emu}.,N,N,N
411,"Who replaced Betty Boothroyd as ""Speaker of the House of Commons""?",Michael Martin,Sir George Young}.,N,N,N
412,Which mountain range runs along the south shore of the Caspian Sea?,Elburz,Caucasus},N,N,N
413,What is the meaning of the name Himalaya in Sanskrit?,Abode of snow,"Himalaya means ""abode of snow"" in Sanskrit.}",Y,Y,Y
414,What was the first Arcade game ever released?,Computer Space,1971: Pong},N,N,N
415,Which branch of physics is particularly useful in designing bridges?,Statics,Mechanics},N,N,N
416,Who invented the Christmas Cracker?,Tom Smith,1860s (F. W. Woolworth)},N,N,N
417,What was raced in the first competitive event at the Indianapolis Motor Speedway?,Balloons,1911 Indianapolis 500},N,N,N
418,What do you call the accumulation of earth and stones carried and finally deposited by a glacier?,Moraine,Moraine}.,Y,Y,Y
419,What is the name of the baseball player with the highest lifetime batting average in the major leagues?,Cobb,Ty Cobb}{.690}.,Y,Y,Y
420,"What is the last name of the man who wrote the poem ""It Couldn't Be Done""?",Guest,Eugene Field}.,N,N,N
